Full,Abbr,Eng,Chap
창세기,창,gen,50
출애굽기,출,exo,40
레위기,레,lev,27
민수기,민,num,36
신명기,신,deu,34
여호수아,수,jos,24
사사기,삿,jdg,21
룻기,룻,rut,4
사무엘상,삼상,1sa,31
사무엘하,삼하,2sa,24
열왕기상,왕상,1ki,22
열왕기하,왕하,2ki,25
역대상,대상,1ch,29
역대하,대하,2ch,36
에스라,스,ezr,10
느헤미아,느,neh,13
에스더,에,est,10
욥기,욥,job,42
시편,시,psa,150
잠언,잠,pro,31
전도서,전,ecc,12
아가,아,sng,8
이사야,사,isa,66
예레미아,렘,jer,52
예레미아애가,애,lam,5
에스겔,겔,ezk,48
다니엘,단,dan,12
호세아,호,hos,14
요엘,욜,jol,3
아모스,암,amo,9
오바댜,옵,oba,1
요나,욘,jnh,4
미가,미,mic,7
나훔,나,nam,3
하박국,합,hab,3
스바냐,습,zep,3
학개,학,hag,2
스가랴,슥,zec,14
말라기,말,mal,4
마태복음,마,mat,28
마가복음,막,mrk,16
누가복음,눅,luk,24
요한복음,요,jhn,21
사도행전,행,act,28
로마서,롬,rom,16
고린도전서,고전,1co,16
고린도후서,고후,2co,13
갈라디아서,갈,gal,6
에베소서,엡,eph,6
빌립보서,빌,php,4
골로새서,골,col,4
데살로니가전서,살전,1th,5
데살로니가후서,살후,2th,3
디모데전서,딤전,1ti,6
디모데후서,딤후,2ti,4
디도서,딛,tit,3
빌레몬서,몬,phm,1
히브리서,히,heb,13
야고보서,약,jas,5
베드로전서,벧전,1pe,5
베드로후서,벧후,2pe,3
요한1서,요일,1jn,5
요한2서,요이,2jn,1
요한3서,요삼,3jn,1
유다서,유,jud,1
요한계시록,계,rev,22
